"","thrs","FPR","TPR","group"
"273",0.7,0,0.987000481463649,"train"
"274",0.71,0,0.985556090515166,"train"
"275",0.72,0,0.984593163216177,"train"
"276",0.73,0,0.98170438131921,"train"
"277",0.74,0,0.978334135772749,"train"
"278",0.75,0,0.976408281174771,"train"
"279",0.76,0,0.974000962927299,"train"
"280",0.77,0,0.969186326432354,"train"
"281",0.78,0,0.961964371689937,"train"
"282",0.79,0,0.952335098700048,"train"
"283",0.8,0,0.943187289359653,"train"
"284",0.81,0,0.934039480019259,"train"
"285",0.82,0,0.927780452575831,"train"
"286",0.83,0,0.916225324987963,"train"
"287",0.84,0,0.903707270101107,"train"
"288",0.85,0,0.891189215214251,"train"
"289",0.86,0,0.875782378430428,"train"
"290",0.87,0,0.859894077997111,"train"
"291",0.88,0,0.838709677419355,"train"
"292",0.89,0,0.815117958594126,"train"
"293",0.9,0,0.786711603273953,"train"
"294",0.91,0,0.763119884448724,"train"
"295",0.92,0,0.725084256138662,"train"
"296",0.93,0,0.690900337024555,"train"
"297",0.94,0,0.644679826673086,"train"
"298",0.95,0,0.568127106403467,"train"
"299",0.96,0,0.455946076071257,"train"
"300",0.97,0,0.312469908521907,"train"
"301",0.98,0,0.168993740972557,"train"
"302",0.99,0,0.0442946557534906,"train"
"303",1,0,0,"train"
"304",0,0.307794561933535,1,"train"
"305",0.01,0.185861027190332,1,"train"
"306",0.02,0.14380664652568,1,"train"
"307",0.03,0.120604229607251,1,"train"
"308",0.04,0.10392749244713,1,"train"
"309",0.05,0.0916012084592145,1,"train"
"310",0.06,0.0806042296072507,1,"train"
"311",0.07,0.071178247734139,1,"train"
"312",0.08,0.0645317220543807,1,"train"
"313",0.09,0.0560725075528701,1,"train"
"314",0.1,0.04797583081571,1,"train"
"315",0.11,0.0432628398791541,1,"train"
"316",0.12,0.037583081570997,1,"train"
"317",0.13,0.0338368580060423,1,"train"
"318",0.14,0.0293655589123867,1,"train"
"319",0.15,0.0263444108761329,1,"train"
"320",0.16,0.0204229607250755,1,"train"
"321",0.17,0.0170392749244713,1,"train"
"322",0.18,0.0142598187311178,1,"train"
"323",0.19,0.0122054380664653,1,"train"
"324",0.2,0.010392749244713,1,"train"
"325",0.21,0.00870090634441088,1,"train"
"326",0.22,0.00725075528700906,1,"train"
"327",0.23,0.00604229607250755,1,"train"
"328",0.24,0.00507552870090634,1,"train"
"329",0.25,0.00410876132930514,1,"train"
"330",0.26,0.00374622356495468,1,"train"
"331",0.27,0.00290030211480363,1,"train"
"332",0.28,0.00205438066465257,1,"train"
"333",0.29,0.00169184290030211,1,"train"
"334",0.3,0.00120845921450151,1,"train"
"335",0.31,0.000845921450151057,1,"train"
"336",0.32,0.000725075528700906,1,"train"
"337",0.33,0.000120845921450151,1,"train"
"338",0.34,0,1,"train"
"339",0.35,0,1,"train"
"340",0.36,0,1,"train"
"341",0.37,0,1,"train"
"342",0.38,0,1,"train"
"343",0.39,0,1,"train"
"344",0.4,0,1,"train"
"345",0.41,0,1,"train"
"346",0.42,0,1,"train"
"347",0.43,0,1,"train"
"348",0.44,0,1,"train"
"349",0.45,0,1,"train"
"350",0.46,0,1,"train"
"351",0.47,0,1,"train"
"352",0.48,0,1,"train"
"353",0.49,0,1,"train"
"354",0.5,0,1,"train"
"355",0.51,0,1,"train"
"356",0.52,0,1,"train"
"357",0.53,0,1,"train"
"358",0.54,0,1,"train"
"359",0.55,0,1,"train"
"360",0.56,0,1,"train"
"361",0.57,0,1,"train"
"362",0.58,0,1,"train"
"363",0.59,0,1,"train"
"364",0.6,0,1,"train"
"365",0.61,0,0.999518072289157,"train"
"366",0.62,0,0.999036144578313,"train"
"367",0.63,0,0.999036144578313,"train"
"368",0.64,0,0.998072289156626,"train"
"369",0.65,0,0.99710843373494,"train"
"370",0.66,0,0.995180722891566,"train"
"371",0.67,0,0.993253012048193,"train"
"372",0.68,0,0.992771084337349,"train"
"373",0.69,0,0.989879518072289,"train"
"374",0.7,0,0.986506024096386,"train"
"375",0.71,0,0.985542168674699,"train"
"376",0.72,0,0.985060240963855,"train"
"377",0.73,0,0.982168674698795,"train"
"378",0.74,0,0.979759036144578,"train"
"379",0.75,0,0.978313253012048,"train"
"380",0.76,0,0.976385542168675,"train"
"381",0.77,0,0.972048192771084,"train"
"382",0.78,0,0.96289156626506,"train"
"383",0.79,0,0.95710843373494,"train"
"384",0.8,0,0.949397590361446,"train"
"385",0.81,0,0.939277108433735,"train"
"386",0.82,0,0.930602409638554,"train"
"387",0.83,0,0.917590361445783,"train"
"388",0.84,0,0.903614457831325,"train"
"389",0.85,0,0.888674698795181,"train"
"390",0.86,0,0.869879518072289,"train"
"391",0.87,0,0.854939759036145,"train"
"392",0.88,0,0.836626506024096,"train"
"393",0.89,0,0.817349397590361,"train"
"394",0.9,0,0.792771084337349,"train"
"395",0.91,0,0.76144578313253,"train"
"396",0.92,0,0.728192771084337,"train"
"397",0.93,0,0.68289156626506,"train"
"398",0.94,0,0.637590361445783,"train"
"399",0.95,0,0.56289156626506,"train"
"400",0.96,0,0.460240963855422,"train"
"401",0.97,0,0.32578313253012,"train"
"402",0.98,0,0.173012048192771,"train"
"403",0.99,0,0.0501204819277108,"train"
"404",1,0,0,"train"
"405",0,0.302884035235912,1,"train"
"406",0.01,0.180282369977073,1,"train"
"407",0.02,0.138530228068058,1,"train"
"408",0.03,0.113551345480874,1,"train"
"409",0.04,0.0993121756968746,1,"train"
"410",0.05,0.0873657535899602,1,"train"
"411",0.06,0.0766260407867745,1,"train"
"412",0.07,0.0680584047303005,1,"train"
"413",0.08,0.0596114396041993,1,"train"
"414",0.09,0.0536985640159286,1,"train"
"415",0.1,0.0469409919150477,1,"train"
"416",0.11,0.0412694581875226,1,"train"
"417",0.12,0.0355979244599976,1,"train"
"418",0.13,0.0311331000362013,1,"train"
"419",0.14,0.0278749849161337,1,"train"
"420",0.15,0.0244961988656933,1,"train"
"421",0.16,0.0203933872330156,1,"train"
"422",0.17,0.0170146011825751,1,"train"
"423",0.18,0.0147218535054905,1,"train"
"424",0.19,0.0130324604802703,1,"train"
"425",0.2,0.0103777000120671,1,"train"
"426",0.21,0.00953300349945698,1,"train"
"427",0.22,0.00772293954386388,1,"train"
"428",0.23,0.00663690117050802,1,"train"
"429",0.24,0.00530952093640642,1,"train"
"430",0.25,0.00446482442379631,1,"train"
"431",0.26,0.00325811512006758,1,"train"
"432",0.27,0.00217207674671172,1,"train"
"433",0.28,0.00156872209484735,1,"train"
"434",0.29,0.00120670930372873,1,"train"
"435",0.3,0.000724025582237239,1,"train"
"436",0.31,0.000241341860745746,1,"train"
"437",0.32,0.000120670930372873,1,"train"
"438",0.33,0.000120670930372873,1,"train"
"439",0.34,0.000120670930372873,1,"train"
"440",0.35,0.000120670930372873,1,"train"
"441",0.36,0,1,"train"
"442",0.37,0,1,"train"
"443",0.38,0,1,"train"
"444",0.39,0,1,"train"
"445",0.4,0,1,"train"
"446",0.41,0,1,"train"
"447",0.42,0,1,"train"
"448",0.43,0,1,"train"
"449",0.44,0,1,"train"
"450",0.45,0,1,"train"
"451",0.46,0,1,"train"
"452",0.47,0,1,"train"
"453",0.48,0,1,"train"
"454",0.49,0,1,"train"
"455",0.5,0,1,"train"
"456",0.51,0,1,"train"
"457",0.52,0,1,"train"
"458",0.53,0,1,"train"
"459",0.54,0,1,"train"
"460",0.55,0,1,"train"
"461",0.56,0,1,"train"
"462",0.57,0,1,"train"
"463",0.58,0,1,"train"
"464",0.59,0,1,"train"
"465",0.6,0,1,"train"
"466",0.61,0,1,"train"
"467",0.62,0,1,"train"
"468",0.63,0,1,"train"
"469",0.64,0,0.999515269025691,"train"
"470",0.65,0,0.999030538051382,"train"
"471",0.66,0,0.998061076102763,"train"
"472",0.67,0,0.995637421231217,"train"
"473",0.68,0,0.994183228308289,"train"
"474",0.69,0,0.991759573436743,"train"
"475",0.7,0,0.989335918565196,"train"
"476",0.71,0,0.987881725642269,"train"
"477",0.72,0,0.985942801745031,"train"
"478",0.73,0,0.983519146873485,"train"
"479",0.74,0,0.982064953950557,"train"
"480",0.75,0,0.979641299079011,"train"
"481",0.76,0,0.977702375181774,"train"
"482",0.77,0,0.970916141541444,"train"
"483",0.78,0,0.966068831798352,"train"
"484",0.79,0,0.957343674260785,"train"
"485",0.8,0,0.948618516723219,"train"
"486",0.81,0,0.937469704314106,"train"
"487",0.82,0,0.925351429956374,"train"
"488",0.83,0,0.912263693650024,"train"
"489",0.84,0,0.899175957343674,"train"
"490",0.85,0,0.88899660688318,"train"
"491",0.86,0,0.874454677653902,"train"
"492",0.87,0,0.858943286476006,"train"
"493",0.88,0,0.839069316529326,"train"
"494",0.89,0,0.81725642268541,"train"
"495",0.9,0,0.788172564226854,"train"
"496",0.91,0,0.757634512845371,"train"
"497",0.92,0,0.724672806592341,"train"
"498",0.93,0,0.685894328647601,"train"
"499",0.94,0,0.641299079011149,"train"
"500",0.95,0,0.572952011633543,"train"
"501",0.96,0,0.474551623848764,"train"
"502",0.97,0,0.344643722733883,"train"
"503",0.98,0,0.183713039263209,"train"
"504",0.99,0,0.0552593310712555,"train"
"505",1,0,0,"train"
"506",0,0.309555368116641,1,"train"
"507",0.01,0.1833955898301,1,"train"
"508",0.02,0.14423424508977,1,"train"
"509",0.03,0.119532473792023,1,"train"
"510",0.04,0.104108928786601,1,"train"
"511",0.05,0.0897698517893722,1,"train"
"512",0.06,0.0795276539342089,1,"train"
"513",0.07,0.0697674418604651,1,"train"
"514",0.08,0.0615736835763345,1,"train"
"515",0.09,0.0536209181829136,1,"train"
"516",0.1,0.0475960959151705,1,"train"
"517",0.11,0.0422942523195566,1,"train"
"518",0.12,0.0378358838414267,1,"train"
"519",0.13,0.0326545366911676,1,"train"
"520",0.14,0.0277141824316183,1,"train"
"521",0.15,0.0233763103988432,1,"train"
"522",0.16,0.0191589348114231,1,"train"
"523",0.17,0.0165080130136161,1,"train"
"524",0.18,0.013977587661164,1,"train"
"525",0.19,0.0120496445354862,1,"train"
"526",0.2,0.0106036871912279,1,"train"
"527",0.21,0.00903723340161465,1,"train"
"528",0.22,0.00831425472948548,1,"train"
"529",0.23,0.00674780093987227,1,"train"
"530",0.24,0.00554283648632365,1,"train"
"531",0.25,0.00481985781419448,1,"train"
"532",0.26,0.00325340402458128,1,"train"
"533",0.27,0.00204843957103265,1,"train"
"534",0.28,0.000963971562838896,1,"train"
"535",0.29,0.000843475117484034,1,"train"
"536",0.3,0.000722978672129172,1,"train"
"537",0.31,0.000361489336064586,1,"train"
"538",0.32,0.000120496445354862,1,"train"
"539",0.33,0.000120496445354862,1,"train"
"540",0.34,0,1,"train"
"541",0.35,0,1,"train"
"542",0.36,0,1,"train"
"543",0.37,0,1,"train"
"544",0.38,0,1,"train"
"545",0.39,0,1,"train"
"546",0.4,0,1,"train"
"547",0.41,0,1,"train"
"548",0.42,0,1,"train"
"549",0.43,0,1,"train"
"550",0.44,0,1,"train"
"551",0.45,0,1,"train"
"552",0.46,0,1,"train"
"553",0.47,0,1,"train"
"554",0.48,0,1,"train"
"555",0.49,0,1,"train"
"556",0.5,0,1,"train"
"557",0.51,0,1,"train"
"558",0.52,0,1,"train"
"559",0.53,0,1,"train"
"560",0.54,0,1,"train"
"561",0.55,0,1,"train"
"562",0.56,0,1,"train"
"563",0.57,0,1,"train"
"564",0.58,0,1,"train"
"565",0.59,0,1,"train"
"566",0.6,0,1,"train"
"567",0.61,0,0.999512432959532,"train"
"568",0.62,0,0.999024865919064,"train"
"569",0.63,0,0.999024865919064,"train"
"570",0.64,0,0.998537298878596,"train"
"571",0.65,0,0.997074597757192,"train"
"572",0.66,0,0.996099463676255,"train"
"573",0.67,0,0.993661628473915,"train"
"574",0.68,0,0.993174061433447,"train"
"575",0.69,0,0.990248659190639,"train"
"576",0.7,0,0.98732325694783,"train"
"577",0.71,0,0.985372988785958,"train"
"578",0.72,0,0.98244758654315,"train"
"579",0.73,0,0.981472452462214,"train"
"580",0.74,0,0.979034617259873,"train"
"581",0.75,0,0.976596782057533,"train"
"582",0.76,0,0.973671379814725,"train"
"583",0.77,0,0.96733300828864,"train"
"584",0.78,0,0.961482203803023,"train"
"585",0.79,0,0.951730862993662,"train"
"586",0.8,0,0.9419795221843,"train"
"587",0.81,0,0.936616284739152,"train"
"588",0.82,0,0.924914675767918,"train"
"589",0.83,0,0.91175036567528,"train"
"590",0.84,0,0.901999024865919,"train"
"591",0.85,0,0.887372013651877,"train"
"592",0.86,0,0.868844466114091,"train"
"593",0.87,0,0.847391516333496,"train"
"594",0.88,0,0.829839102876646,"train"
"595",0.89,0,0.815699658703072,"train"
"596",0.9,0,0.787908337396392,"train"
"597",0.91,0,0.757679180887372,"train"
"598",0.92,0,0.718186250609459,"train"
"599",0.93,0,0.681618722574354,"train"
"600",0.94,0,0.628473915163335,"train"
"601",0.95,0,0.554851292052657,"train"
"602",0.96,0,0.443198439785471,"train"
"603",0.97,0,0.317893710385178,"train"
"604",0.98,0,0.167235494880546,"train"
"605",0.99,0,0.0409556313993174,"train"
"606",1,0,0,"train"
"607",0,0.309719535783366,1,"train"
"608",0.01,0.182301740812379,1,"train"
"609",0.02,0.14470502901354,1,"train"
"610",0.03,0.119076402321083,1,"train"
"611",0.04,0.102514506769826,1,"train"
"612",0.05,0.0897001934235977,1,"train"
"613",0.06,0.0783365570599613,1,"train"
"614",0.07,0.0691489361702128,1,"train"
"615",0.08,0.0609284332688588,1,"train"
"616",0.09,0.0551257253384913,1,"train"
"617",0.1,0.0490812379110251,1,"train"
"618",0.11,0.0425531914893617,1,"train"
"619",0.12,0.0373549323017408,1,"train"
"620",0.13,0.0322775628626692,1,"train"
"621",0.14,0.0285299806576402,1,"train"
"622",0.15,0.0251450676982592,1,"train"
"623",0.16,0.0215183752417795,1,"train"
"624",0.17,0.0175290135396518,1,"train"
"625",0.18,0.0146276595744681,1,"train"
"626",0.19,0.0130560928433269,1,"train"
"627",0.2,0.011242746615087,1,"train"
"628",0.21,0.00930851063829787,1,"train"
"629",0.22,0.00858317214700193,1,"train"
"630",0.23,0.00676982591876209,1,"train"
"631",0.24,0.00544003868471954,1,"train"
"632",0.25,0.00398936170212766,1,"train"
"633",0.26,0.00302224371373308,1,"train"
"634",0.27,0.00217601547388781,1,"train"
"635",0.28,0.00145067698259188,1,"train"
"636",0.29,0.000846228239845261,1,"train"
"637",0.3,0.000725338491295938,1,"train"
"638",0.31,0.000483558994197292,1,"train"
"639",0.32,0.000362669245647969,1,"train"
"640",0.33,0.000241779497098646,1,"train"
"641",0.34,0.000120889748549323,1,"train"
"642",0.35,0.000120889748549323,1,"train"
"643",0.36,0.000120889748549323,1,"train"
"644",0.37,0,1,"train"
"645",0.38,0,1,"train"
"646",0.39,0,1,"train"
"647",0.4,0,1,"train"
"648",0.41,0,1,"train"
"649",0.42,0,1,"train"
"650",0.43,0,1,"train"
"651",0.44,0,1,"train"
"652",0.45,0,1,"train"
"653",0.46,0,1,"train"
"654",0.47,0,1,"train"
"655",0.48,0,1,"train"
"656",0.49,0,1,"train"
"657",0.5,0,1,"train"
"658",0.51,0,1,"train"
"659",0.52,0,1,"train"
"660",0.53,0,1,"train"
"661",0.54,0,1,"train"
"662",0.55,0,1,"train"
"663",0.56,0,1,"train"
"664",0.57,0,1,"train"
"665",0.58,0,1,"train"
"666",0.59,0,1,"train"
"667",0.6,0,1,"train"
"668",0.61,0,0.999518768046198,"train"
"669",0.62,0,0.999037536092397,"train"
"670",0.63,0,0.998075072184793,"train"
"671",0.64,0,0.997593840230991,"train"
"672",0.65,0,0.996631376323388,"train"
"673",0.66,0,0.995187680461983,"train"
"674",0.67,0,0.994225216554379,"train"
"675",0.68,0,0.990375360923965,"train"
"676",0.69,0,0.988450433108758,"train"
"677",0.7,0,0.988450433108758,"train"
"678",0.71,0,0.985563041385948,"train"
"679",0.72,0,0.983638113570741,"train"
"680",0.73,0,0.981231953801732,"train"
"681",0.74,0,0.978344562078922,"train"
"682",0.75,0,0.976419634263715,"train"
"683",0.76,0,0.972569778633301,"train"
"684",0.77,0,0.969682386910491,"train"
"685",0.78,0,0.963426371511068,"train"
"686",0.79,0,0.956207892204042,"train"
"687",0.8,0,0.94995187680462,"train"
"688",0.81,0,0.943695861405197,"train"
"689",0.82,0,0.933589990375361,"train"
"690",0.83,0,0.918671799807507,"train"
"691",0.84,0,0.903272377285852,"train"
"692",0.85,0,0.890279114533205,"train"
"693",0.86,0,0.87487969201155,"train"
"694",0.87,0,0.856592877767084,"train"
"695",0.88,0,0.838306063522618,"train"
"696",0.89,0,0.817131857555342,"train"
"697",0.9,0,0.793551491819057,"train"
"698",0.91,0,0.762752646775746,"train"
"699",0.92,0,0.7223291626564,"train"
"700",0.93,0,0.681905678537055,"train"
"701",0.94,0,0.639557266602502,"train"
"702",0.95,0,0.579403272377286,"train"
"703",0.96,0,0.474494706448508,"train"
"704",0.97,0,0.335899903753609,"train"
"705",0.98,0,0.179018286814244,"train"
"706",0.99,0,0.0495668912415784,"train"
"707",1,0,0,"train"
"708",0,0.310295003010235,1,"train"
"709",0.01,0.18314268512944,1,"train"
"710",0.02,0.143046357615894,1,"train"
