,thrs,FPR,TPR,group
90,0.89,0,0.00677310111272375,train
91,0.9,0,0.00532172230285438,train
92,0.91,0,0.00483792936623125,train
93,0.92,0,0.00435413642960813,train
94,0.93,0,0.003870343492985,train
95,0.94,0,0.00290275761973875,train
96,0.95,0,0.00290275761973875,train
97,0.96,0,0.0019351717464925,train
98,0.97,0,0.000967585873246251,train
99,0.98,0,0.000483792936623125,train
100,0.99,0,0,train
101,1,0,0,train
102,0,1,1,train
103,0.01,1,1,train
104,0.02,1,1,train
105,0.03,1,0.997095837366893,train
106,0.04,1,0.996127783155857,train
107,0.05,0.999879285369387,0.993223620522749,train
108,0.06,0.999758570738773,0.989351403678606,train
109,0.07,0.99963785610816,0.982090997095837,train
110,0.08,0.999517141477547,0.974830590513069,train
111,0.09,0.999154997585707,0.964666021297193,train
112,0.1,0.998672139063254,0.945304937076476,train
113,0.11,0.998672139063254,0.927395934172314,train
114,0.12,0.997344278126509,0.907550822846079,train
115,0.13,0.996016417189763,0.879477250726041,train
116,0.14,0.994205697730565,0.845111326234269,train
117,0.15,0.987083534524384,0.802032913843175,train
118,0.16,0.964992757122163,0.751210067763795,train
119,0.17,0.89799613713182,0.697483059051307,train
120,0.18,0.769555770159343,0.641335914811229,train
121,0.19,0.559391598261709,0.577444336882865,train
122,0.2,0.315185900531144,0.518877057115198,train
123,0.21,0.15246257846451,0.464181994191675,train
124,0.22,0.0709802028005794,0.413843175217812,train
125,0.23,0.0299372283920811,0.369796708615682,train
126,0.24,0.0137614678899083,0.333494675701839,train
127,0.25,0.00712216320618059,0.294772507260407,train
128,0.26,0.00482858522452921,0.263310745401742,train
129,0.27,0.00301786576533076,0.23620522749274,train
130,0.28,0.00229357798165138,0.211519845111326,train
131,0.29,0.00169000482858522,0.194094869312682,train
132,0.3,0.00144857556735876,0.174249757986447,train
133,0.31,0.000965717044905843,0.163601161665053,train
134,0.32,0.000724287783679382,0.15053242981607,train
135,0.33,0.000603573153066152,0.137947725072604,train
136,0.34,0.000362143891839691,0.123426911907067,train
137,0.35,0.000362143891839691,0.114230396902227,train
138,0.36,0.000362143891839691,0.105033881897386,train
139,0.37,0.000362143891839691,0.0953533397870281,train
140,0.38,0.000362143891839691,0.0900290416263311,train
141,0.39,0.000362143891839691,0.0827686350435624,train
142,0.4,0.000362143891839691,0.0740561471442401,train
143,0.41,0.000362143891839691,0.0701839303000968,train
144,0.42,0.000362143891839691,0.0648596321393998,train
145,0.43,0.000241429261226461,0.0590513068731849,train
146,0.44,0.00012071463061323,0.0561471442400774,train
147,0.45,0.00012071463061323,0.0513068731848984,train
148,0.46,0.00012071463061323,0.0474346563407551,train
149,0.47,0.00012071463061323,0.0440464666021297,train
150,0.48,0.00012071463061323,0.0377541142303969,train
151,0.49,0.00012071463061323,0.0343659244917715,train
152,0.5,0.00012071463061323,0.0295256534365924,train
153,0.51,0.00012071463061323,0.0251694094869313,train
154,0.52,0.00012071463061323,0.0251694094869313,train
155,0.53,0.00012071463061323,0.0227492739593417,train
156,0.54,0.00012071463061323,0.0208131655372701,train
157,0.55,0.00012071463061323,0.0179090029041626,train
158,0.56,0.00012071463061323,0.0164569215876089,train
159,0.57,0.00012071463061323,0.0140367860600194,train
160,0.58,0.00012071463061323,0.0130687318489835,train
161,0.59,0.00012071463061323,0.0116166505324298,train
162,0.6,0.00012071463061323,0.0111326234269119,train
163,0.61,0.00012071463061323,0.0101645692158761,train
164,0.62,0.00012071463061323,0.00968054211035818,train
165,0.63,0.00012071463061323,0.00677637947725073,train
166,0.64,0.00012071463061323,0.00629235237173282,train
167,0.65,0,0.00580832526621491,train
168,0.66,0,0.00580832526621491,train
169,0.67,0,0.005324298160697,train
170,0.68,0,0.00435624394966118,train
171,0.69,0,0.00338818973862536,train
172,0.7,0,0.00290416263310745,train
173,0.71,0,0.00290416263310745,train
174,0.72,0,0.00290416263310745,train
175,0.73,0,0.00290416263310745,train
176,0.74,0,0.00242013552758954,train
177,0.75,0,0.00242013552758954,train
178,0.76,0,0.00242013552758954,train
179,0.77,0,0.00193610842207164,train
180,0.78,0,0.00145208131655373,train
181,0.79,0,0.00145208131655373,train
182,0.8,0,0.00145208131655373,train
183,0.81,0,0.00145208131655373,train
184,0.82,0,0.000968054211035818,train
185,0.83,0,0.000968054211035818,train
186,0.84,0,0.000968054211035818,train
187,0.85,0,0.000484027105517909,train
188,0.86,0,0.000484027105517909,train
189,0.87,0,0.000484027105517909,train
190,0.88,0,0,train
191,0.89,0,0,train
192,0.9,0,0,train
193,0.91,0,0,train
194,0.92,0,0,train
195,0.93,0,0,train
196,0.94,0,0,train
197,0.95,0,0,train
198,0.96,0,0,train
199,0.97,0,0,train
200,0.98,0,0,train
201,0.99,0,0,train
202,1,0,0,train
203,0,1,1,train
204,0.01,1,0.999045346062053,train
205,0.02,1,0.995226730310263,train
206,0.03,0.999757722592368,0.991885441527446,train
207,0.04,0.999757722592368,0.982816229116945,train
208,0.05,0.999636583888552,0.975178997613365,train
209,0.06,0.999636583888552,0.964677804295943,train
210,0.07,0.999394306480921,0.951789976133652,train
211,0.08,0.99854633555421,0.940334128878282,train
212,0.09,0.998182919442762,0.924582338902148,train
213,0.1,0.997577225923683,0.899761336515513,train
214,0.11,0.99648697758934,0.875894988066826,train
215,0.12,0.992489400363416,0.850119331742243,train
216,0.13,0.98740157480315,0.824821002386635,train
217,0.14,0.974560872198667,0.794272076372315,train
218,0.15,0.945729860690491,0.757040572792363,train
219,0.16,0.891217443973349,0.715035799522673,train
220,0.17,0.792610539067232,0.675894988066826,train
221,0.18,0.640218049666869,0.637231503579952,train
222,0.19,0.446153846153846,0.595704057279236,train
223,0.2,0.278982434887947,0.555608591885442,train
224,0.21,0.159660811629316,0.515990453460621,train
225,0.22,0.093519079345851,0.481622911694511,train
226,0.23,0.0537855844942459,0.446778042959427,train
227,0.24,0.0308903694730466,0.420047732696897,train
228,0.25,0.0190187764990915,0.38854415274463,train
229,0.26,0.0116293155663234,0.35799522673031,train
230,0.27,0.0078740157480315,0.336515513126492,train
231,0.28,0.00581465778316172,0.312171837708831,train
232,0.29,0.00411871592973955,0.297374701670644,train
233,0.3,0.00302846759539673,0.272076372315036,train
234,0.31,0.00218049666868565,0.25727923627685,train
235,0.32,0.00193821926105391,0.245346062052506,train
236,0.33,0.00121138703815869,0.232458233890215,train
237,0.34,0.00109024833434282,0.216229116945107,train
238,0.35,0.000847970926711084,0.2,train
239,0.36,0.000605693519079346,0.190453460620525,train
240,0.37,0.000484554815263477,0.179474940334129,train
241,0.38,0.000484554815263477,0.170405727923628,train
242,0.39,0.000484554815263477,0.161336515513126,train
243,0.4,0.000484554815263477,0.154653937947494,train
244,0.41,0.000484554815263477,0.142243436754177,train
245,0.42,0.000363416111447608,0.13508353221957,train
246,0.43,0.000363416111447608,0.126014319809069,train
247,0.44,0.000363416111447608,0.120286396181384,train
248,0.45,0.000363416111447608,0.112171837708831,train
249,0.46,0.000363416111447608,0.102625298329356,train
250,0.47,0.000363416111447608,0.0959427207637231,train
251,0.48,0.000363416111447608,0.0906921241050119,train
252,0.49,0.000121138703815869,0.0854415274463007,train
253,0.5,0.000121138703815869,0.0816229116945107,train
254,0.51,0.000121138703815869,0.0782816229116945,train
