"","thrs","FPR","TPR","tIerr","tIIerr","group"
"37",0.36,0.000725689404934688,0.169068203650336,NA,NA,"train"
"38",0.37,0.000483792936623125,0.16090297790586,NA,NA,"train"
"39",0.38,0.000483792936623125,0.152257444764649,NA,NA,"train"
"40",0.39,0.000483792936623125,0.145052833813641,NA,NA,"train"
"41",0.4,0.000483792936623125,0.13640730067243,NA,NA,"train"
"42",0.41,0.000483792936623125,0.130643611911623,NA,NA,"train"
"43",0.42,0.000483792936623125,0.120557156580211,NA,NA,"train"
"44",0.43,0.000483792936623125,0.113832853025937,NA,NA,"train"
"45",0.44,0.000362844702467344,0.103266090297791,NA,NA,"train"
"46",0.45,0.000241896468311563,0.0975024015369837,NA,NA,"train"
"47",0.46,0.000120948234155781,0.0951008645533141,NA,NA,"train"
"48",0.47,0.000120948234155781,0.0893371757925072,NA,NA,"train"
"49",0.48,0.000120948234155781,0.085014409221902,NA,NA,"train"
"50",0.49,0.000120948234155781,0.0792507204610951,NA,NA,"train"
"51",0.5,0.000120948234155781,0.0782901056676273,NA,NA,"train"
"52",0.51,0.000120948234155781,0.0754082612872238,NA,NA,"train"
"53",0.52,0.000120948234155781,0.0715658021133525,NA,NA,"train"
"54",0.53,0.000120948234155781,0.0677233429394813,NA,NA,"train"
"55",0.54,0.000120948234155781,0.0653218059558117,NA,NA,"train"
"56",0.55,0.000120948234155781,0.0605187319884726,NA,NA,"train"
"57",0.56,0.000120948234155781,0.0581171950048031,NA,NA,"train"
"58",0.57,0.000120948234155781,0.0561959654178674,NA,NA,"train"
"59",0.58,0.000120948234155781,0.053314121037464,NA,NA,"train"
"60",0.59,0.000120948234155781,0.0489913544668588,NA,NA,"train"
"61",0.6,0.000120948234155781,0.0456292026897214,NA,NA,"train"
"62",0.61,0.000120948234155781,0.0437079731027858,NA,NA,"train"
"63",0.62,0.000120948234155781,0.0422670509125841,NA,NA,"train"
"64",0.63,0,0.0384245917387128,NA,NA,"train"
"65",0.64,0,0.036983669548511,NA,NA,"train"
"66",0.65,0,0.0350624399615754,NA,NA,"train"
"67",0.66,0,0.0336215177713737,NA,NA,"train"
"68",0.67,0,0.031700288184438,NA,NA,"train"
"69",0.68,0,0.0307396733909702,NA,NA,"train"
"70",0.69,0,0.0288184438040346,NA,NA,"train"
"71",0.7,0,0.026416906820365,NA,NA,"train"
"72",0.71,0,0.0259365994236311,NA,NA,"train"
"73",0.72,0,0.0240153698366955,NA,NA,"train"
"74",0.73,0,0.0220941402497598,NA,NA,"train"
"75",0.74,0,0.021133525456292,NA,NA,"train"
"76",0.75,0,0.0196926032660903,NA,NA,"train"
"77",0.76,0,0.0172910662824208,NA,NA,"train"
"78",0.77,0,0.0148895292987512,NA,NA,"train"
"79",0.78,0,0.0139289145052834,NA,NA,"train"
"80",0.79,0,0.0134486071085495,NA,NA,"train"
"81",0.8,0,0.0124879923150817,NA,NA,"train"
"82",0.81,0,0.0115273775216138,NA,NA,"train"
"83",0.82,0,0.0110470701248799,NA,NA,"train"
"84",0.83,0,0.0100864553314121,NA,NA,"train"
"85",0.84,0,0.00960614793467819,NA,NA,"train"
"86",0.85,0,0.00816522574447646,NA,NA,"train"
"87",0.86,0,0.00768491834774256,NA,NA,"train"
"88",0.87,0,0.00720461095100865,NA,NA,"train"
"89",0.88,0,0.00672430355427474,NA,NA,"train"
"90",0.89,0,0.00528338136407301,NA,NA,"train"
"91",0.9,0,0.0048030739673391,NA,NA,"train"
"92",0.91,0,0.00336215177713737,NA,NA,"train"
